,display_name,name,start_date,end_date,type,code,capitalization,circulating_cap,market_cap,circulating_market_cap,证监会行业,聚宽二级行业,申万三级行业,概念
002523.XSHE,天桥起重,TQQZ,2010-12-10,2200-01-01,stock,002523.XSHE,141664.08,141154.2683,49.8658,49.6863,通用设备制造业,工程机械,冶金矿采化工设备III,工业互联网|人工智能|风电|固废处理|一带一路|工业4.0|海工装备|军工|深股通|核电|体育产业|融资融券|转融券标的|国企改革|机器人概念|华为概念|24中报预增
002524.XSHE,光正眼科,GZYK,2010-12-17,2200-01-01,stock,002524.XSHE,51533.1574,51074.8574,19.5311,19.3574,卫生,医疗服务,医院III,人工智能|智能医疗|装配式建筑|创投|地下管网|新疆振兴|民营医院|健康中国|眼科医疗|天然气|西部大开发
002526.XSHE,山东矿机,SDKJ,2010-12-17,2200-01-01,stock,002526.XSHE,178279.3836,177108.4438,53.4838,53.1325,专用设备制造业,采矿冶金机械,冶金矿采化工设备III,网络游戏|人工智能|无人机|工业4.0|深股通|可降解塑料|融资融券|转融券标的|减速器|新型工业化|低空经济|机器人概念|煤炭概念
002527.XSHE,新时达,XSD,2010-12-24,2200-01-01,stock,002527.XSHE,66306.1291,52888.8633,102.3104,81.6075,通用设备制造业,电动机与工控自动化,楼宇设备III,阿里|工业互联网|数据中心|区块链|大飞机|燃料电池|数字孪生|工业4.0|海工装备|深股通|融资融券|股权转让|转融券标的|工业母机|比亚迪概念|机器视觉|减速器|新型工业化|人形机器人|机器人概念|芯片概念|智能制造
002528.XSHE,*ST英飞,*STYF,2010-12-24,2200-01-01,stock,002528.XSHE,119867.5082,105021.6561,57.896,50.7255,计算机、通信和其他电子设备制造业,安防设备及其他,安防设备III,安防|物联网|区块链|人工智能|人脸识别|5G|智慧城市|智能家居|智能医疗|智能交通|深圳国资改革|军民融合|智慧灯杆|智慧政务|华为鲲鹏|数字经济|机器视觉|信创|国企改革|数据要素|华为概念|国资云
002529.XSHE,*ST海源,*STHY,2010-12-24,2200-01-01,stock,002529.XSHE,26000.0,26000.0,19.968,19.968,通用设备制造业,其他汽车零部件,其它专用机械III,3D打印|股权转让|转融券标的|宁德时代概念|光伏概念
002530.XSHE,金财互联,JCHL,2010-12-31,2200-01-01,stock,002530.XSHE,77919.8175,69512.3334,61.245,54.6367,金属制品业,其他通用机械,其它专用机械III,区块链|大数据|智慧城市|深股通|融资融券|转融券标的|虚拟数字人|华为鲲鹏|比亚迪概念|数据要素|机器人概念|养老概念
002531.XSHE,天顺风能,TSFN,2010-12-31,2200-01-01,stock,002531.XSHE,179687.8658,178678.5299,175.555,174.5689,电气机械和器材制造业,风电设备,风电零部件III,风电|海工装备|深股通|融资融券|新能源|转融券标的|氢能源
002532.XSHE,天山铝业,TSLY,2010-12-31,2200-01-01,stock,002532.XSHE,462873.7415,410685.7452,639.2286,567.157,有色金属冶炼和压延加工业,铝,铝III,深股通|新疆振兴|融资融券|转融券标的|钠离子电池|俄乌冲突概念|锂电池概念|24中报预增|24三季报预增|年报预增|26一季报预增
002533.XSHE,金杯电工,JBDG,2010-12-31,2200-01-01,stock,002533.XSHE,73394.1062,63764.5433,87.4858,76.0073,电气机械和器材制造业,线缆及其他,线缆部件及其他III,数据中心|冷链物流|充电桩|特斯拉|智能电网|风电|一带一路|深股通|高铁|特高压|核电|融资融券|转融券标的|储能|比亚迪概念|超导概念|可控核聚变|机器人概念|光伏概念|华为概念
002534.XSHE,西子洁能,XZJN,2011-01-10,2200-01-01,stock,002534.XSHE,83593.5177,82536.2747,164.8464,162.7615,通用设备制造业,节能与资源回收,火电设备III,大飞机|燃料电池|杭州亚运会|固废处理|节能环保|碳中和|创投|一带一路|深股通|核电|融资融券|太阳能|转融券标的|储能|绿色电力|钒电池|钙钛矿电池|光热发电|光伏概念|24中报预增|年报预增
002535.XSHE,林州重机,LZZJ,2011-01-11,2200-01-01,stock,002535.XSHE,80168.3074,74629.851,21.1644,19.7023,专用设备制造业,采矿冶金机械,冶金矿采化工设备III,安防|燃料电池|军工|供应链金融|高端装备|储能|煤炭概念|24中报预增|24三季报预增
002536.XSHE,飞龙股份,FLGF,2011-01-11,2200-01-01,stock,002536.XSHE,57478.5888,54440.1075,227.3278,215.3106,汽车制造业,汽车系统部件,底盘与发动机系统III,数据中心|汽车电子|充电桩|特斯拉|燃料电池|无人机|深股通|融资融券|转融券标的|储能|汽车热管理|小米汽车|低空经济|机器人概念|芯片概念|华为概念
002537.XSHE,海联金汇,HLJH,2011-01-10,2200-01-01,stock,002537.XSHE,117401.6745,116919.9745,72.0846,71.7889,汽车制造业,其他汽车零部件,车身附件及饰件III,互联网金融|区块链|移动支付|数字货币|跨境电商|冷链物流|特斯拉|5G|深股通|家用电器|融资融券|转融券标的|元宇宙|华为汽车|数字经济|比亚迪概念|华为概念|25中报预增
002538.XSHE,ST司特,STST,2011-01-18,2200-01-01,stock,002538.XSHE,85355.5763,85299.6301,50.8719,50.8386,化学原料和化学制品制造业,复合肥,复合肥III,工业互联网|民营医院|农村电商|生态农业|乡村振兴|磷化工|化肥|黄金概念|24三季报预增|年报预增|26一季报预增
002539.XSHE,云图控股,YTKG,2011-01-18,2200-01-01,stock,002539.XSHE,120772.3762,88979.3625,144.2022,106.2414,化学原料和化学制品制造业,复合肥,复合肥III,深股通|生态农业|乡村振兴|电子竞技|农业种植|磷化工|融资融券|转融券标的|化肥|玉米|锂电池概念
